Ticket Number,Date Created,Date Closed,Request Status,Status Detail,Service Category,Service Details,Business Unit,Neighbourhood,Community League,Ward,Address,Lat,Long,Location,Ticket Source,Calendar Year,Count
8012336269,July 09 2015,,Open,,2,Sidewalks,Roadway Operations,TAMARACK,FULTON MEADOWS COMMUNITY LEAGUE,WARD 12,"MAPLE ROAD NW, TAMARACK WAY NW",53.47667134,-113.3645792,"(53.4766713421487, -113.364579248496)",Telephone call,2015,1
8012319912,July 07 2015,,Open,,2,Sidewalks,Roadway Operations,WEDGEWOOD HEIGHTS,Wedgewood Ravine Community League,WARD 05,1499 WELBOURN DRIVE NW,53.476339,-113.6429808,"(53.4763390036844, -113.642980794077)",Telephone call,2015,1
8012311958,July 06 2015,,Open,,2,Sidewalks,Roadway Operations,ELMWOOD,Elmwood Community League,WARD 05,8334 166 STREET NW,53.51857995,-113.6086792,"(53.5185799493282, -113.608679154837)",Telephone call,2015,1
8012175023,June 15 2015,,Open,,2,Sidewalks,Roadway Operations,GLENORA,Glenora Community League,WARD 06,10320 CONNAUGHT DRIVE NW,53.54531481,-113.5439506,"(53.5453148085511, -113.543950560896)",Telephone call,2015,1
8012130946,June 08 2015,,Open,,2,Sidewalks,Roadway Operations,QUEEN ALEXANDRA,Queen Alexandra Community League,WARD 08,10715 75 AVENUE NW,53.51104815,-113.5072651,"(53.5110481533993, -113.507265088458)",Internet Mail,2015,1
8012127324,June 08 2015,,Open,,2,Sidewalks,Roadway Operations,HODGSON,Hodgson Community League,WARD 09,"23 AVENUE NW, MAGRATH ROAD NW",53.45405642,-113.5591695,"(53.4540564217258, -113.559169512916)",Telephone call,2015,1
8012115231,June 05 2015,,Open,,1,Vandalism - Play Structure,Parks,DUNLUCE,Dunluce Community League,WARD 03,12030 162 AVENUE NW,53.62405014,-113.5333558,"(53.6240501415871, -113.53335576062)",MobileApp,2015,1
173167974,May 28 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,DUGGAN,Duggan Community League,WARD 10,"108 STREET NW, 35A AVENUE NW",53.46902858,-113.5088193,"(53.4690285759575, -113.508819282539)",Telephone call,2015,1
172923821,May 23 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,WEST MEADOWLARK PARK,West Meadowlark Community League,WARD 01,"87 AVENUE [EASTBOUND SIDE] NW, 170 STREET [NORTHBOUND SIDE] NW",53.51955447,-113.615316,"(53.5195544726171, -113.61531596616)",Telephone call,2015,1
172892392,May 22 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,WEST MEADOWLARK PARK,West Meadowlark Community League,WARD 01,"87 AVENUE NW, 169 STREET NW",53.51956916,-113.6107947,"(53.5195691645528, -113.610794707206)",Internet Mail,2015,1
8012012839,May 22 2015,,Open,,2,Sidewalks,Roadway Operations,BULYEA HEIGHTS,Brookview Community League (Edmonton) Society,WARD 09,310 BURTON ROAD NW,53.47680371,-113.5660711,"(53.4768037095154, -113.566071080683)",Telephone call,2015,1
172843048,May 22 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,LYMBURN,Callingwood - Lymburn Community League,WARD 05,"179 STREET NW, 77 AVENUE NW",53.51032047,-113.631225,"(53.5103204731041, -113.631224969054)",Telephone call,2015,1
172625449,May 18 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,ERMINESKIN,Ermineskin Community League,WARD 10,2911 109 STREET NW,53.46073653,-113.5104472,"(53.4607365335839, -113.510447204767)",MobileApp,2015,1
8011930964,May 08 2015,,Open,,1,River Valley,River Valley Operations,FOREST HEIGHTS,Forest/Terrace Heights Community League,WARD 08,8440 105 AVENUE NW,53.54879364,-113.4589435,"(53.5487936438112, -113.458943524535)",Telephone call,2015,1
8011912851,May 05 2015,,Open,,2,Sidewalks,Roadway Operations,BEARSPAW,Yellowbird (East) Community League,WARD 10,1052 105 STREET NW,53.44129943,-113.4978673,"(53.4412994278658, -113.497867268513)",Telephone call,2015,1
8011896224,May 02 2015,,Open,,1,River Valley,River Valley Operations,BEVERLY HEIGHTS,Beverly Heights Community League,WARD 07,4209 111 AVENUE NW,53.5636954,-113.4065619,"(53.5636954046905, -113.406561856478)",Telephone call,2015,1
171408556,April 27 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,CROMDALE,Parkdale-Cromdale Community League Association,WARD 07,"JASPER AVENUE NW, 82 STREET NW",53.55672957,-113.4675408,"(53.5567295719225, -113.46754080314)",Telephone call,2015,1
8011845599,April 24 2015,,Open,Assessment in Progress,1,River Valley,River Valley Operations,ELSINORE,The Baturyn Community League,WARD 03,17604 104 STREET NW,53.64108929,-113.5036848,"(53.6410892942767, -113.503684774671)",Telephone call,2015,1
8011819829,April 20 2015,,Open,,2,Sidewalks,Roadway Operations,PARKALLEN,Parkallen Community Ass'n (1960),WARD 10,10934 65 AVENUE NW,53.50235669,-113.5139915,"(53.5023566935733, -113.513991544898)",Telephone call,2015,1
8011768518,April 10 2015,,Open,,1,Park Structure,Parks,DUNLUCE,Dunluce Community League,WARD 03,207 WARWICK ROAD NW,53.62531202,-113.5331331,"(53.6253120223989, -113.533133106609)",Telephone call,2015,1
8011712096,April 01 2015,,Open,Assessment in Progress,1,Vandalism - Play Structure,Parks,BLACKMUD CREEK RAVINE,Twin Brooks Community League,WARD 10,10945 BEARSPAW DRIVE WEST NW,53.44366555,-113.5105096,"(53.4436655450648, -113.510509579737)",Telephone call,2015,1
8011671470,March 25 2015,,Open,,2,Sidewalks,Roadway Operations,CAMERON HEIGHTS,Cameron Heights Community League,WARD 05,1212 CHAHLEY LANDING NW,53.47235765,-113.6415359,"(53.4723576530179, -113.641535923729)",Telephone call,2015,1
8011649441,March 21 2015,,Open,,1,River Valley,River Valley Operations,RIVER VALLEY CAPITOL HILL,The Crestwood Community League,WARD 01,13814 SUMMIT DRIVE NW,53.5381001,-113.5622127,"(53.5381001048805, -113.562212719934)",MobileApp,2015,1
8011589057,March 11 2015,,Open,,2,Facility Sidewalk,Parks,LAGO LINDO,Lago Lindo Community League,WARD 03,17123 95 STREET NW,53.63470292,-113.4867472,"(53.6347029238127, -113.486747239768)",Telephone call,2015,1
8011572169,March 08 2015,,Open,,1,Vandalism - Play Structure,Parks,BRINTNELL,Horse Hill Community League (1995) Asssociation,WARD 04,"BRINTNELL BOULEVARD NW, 50 STREET NW",53.62013531,-113.4164032,"(53.6201353125626, -113.416403156606)",Telephone call,2015,1
8011356835,January 29 2015,,Open,,2,Sidewalks,Roadway Operations,MALMO PLAINS,Malmo Community League,WARD 10,11451 46 AVENUE NW,53.48356701,-113.5284211,"(53.4835670140627, -113.528421061047)",Telephone call,2015,1
8011331148,January 24 2015,,Open,,2,Facility,Parks,MCCAULEY,McCauley Community League,WARD 06,8610 STADIUM ROAD NW,53.55761151,-113.4774177,"(53.5576115075371, -113.477417735535)",Telephone call,2015,1
